Name,Link,Address,Phone,Price
Bond Place Hotel,https://www.tripadvisor.ca/Hotel_Review-g155019-d183054-Reviews-Bond_Place_Hotel-Toronto_Ontario.html,"65 Dundas St. East, Toronto, Ontario M5B 2G8 Canada",(647) 496-0391,C$221
Chelsea Hotel Toronto,https://www.tripadvisor.ca/Hotel_Review-g155019-d183778-Reviews-Chelsea_Hotel_Toronto-Toronto_Ontario.html,"33 Gerrard Street W, Toronto, Ontario M5G 1Z4 Canada",(416) 595-1975,C$217
The Roehampton Hotel,https://www.tripadvisor.ca/Hotel_Review-g155019-d182001-Reviews-The_Roehampton_Hotel-Toronto_Ontario.html,"808 Mount Pleasant Road, Toronto, Ontario M4P 2L2 Canada",,C$159
Hotel Carlingview Toronto Airport,https://www.tripadvisor.ca/Hotel_Review-g155019-d183113-Reviews-Hotel_Carlingview_Toronto_Airport-Toronto_Ontario.html,"221 Carlingview Dr, Toronto, Ontario M9W 5E8 Canada",,C$118
Holiday Inn Toronto International Airport,https://www.tripadvisor.ca/Hotel_Review-g155019-d181984-Reviews-Holiday_Inn_Toronto_International_Airport-Toronto_Ontario.html,"970 Dixon Rd, Toronto, Ontario M9W 1J9 Canada",1 (877) 859-5095,C$111
Super 8 by Wyndham Downtown Toronto,https://www.tripadvisor.ca/Hotel_Review-g155019-d671288-Reviews-Super_8_by_Wyndham_Downtown_Toronto-Toronto_Ontario.html,"222 Spadina Ave., Toronto, Ontario M5T 3B3 Canada",1 (800) 536-1211,C$161
Pantages Hotel Toronto Centre,https://www.tripadvisor.ca/Hotel_Review-g155019-d296493-Reviews-Pantages_Hotel_Toronto_Centre-Toronto_Ontario.html,"200 Victoria St, Toronto, Ontario M5B 1V8 Canada",1 (855) 622-3857,C$226
Town Inn Suites,https://www.tripadvisor.ca/Hotel_Review-g155019-d183093-Reviews-Town_Inn_Suites-Toronto_Ontario.html,"620 Church St, Toronto, Ontario M4Y 2G2 Canada",(647) 696-7111,C$194
Holiday Inn Express Toronto Downtown,https://www.tripadvisor.ca/Hotel_Review-g155019-d183077-Reviews-Holiday_Inn_Express_Toronto_Downtown-Toronto_Ontario.html,"55 Reading Crt, Toronto, Ontario M9W 7K7 Canada",(647) 360-3650,C$219
Comfort Hotel Airport North,https://www.tripadvisor.ca/Hotel_Review-g155019-d188443-Reviews-Comfort_Hotel_Airport_North-Toronto_Ontario.html,"111 Lombard Street, Toronto, Ontario M5C 2T9 Canada",1 (877) 859-5095,C$169
Best Western Plus Executive Inn,https://www.tripadvisor.ca/Hotel_Review-g155019-d246962-Reviews-Best_Western_Plus_Executive_Inn-Toronto_Ontario.html,"38 Estate Dr, Toronto, Ontario M1H 2Z1 Canada",1 (844) 807-4958,C$341
Hilton Toronto,https://www.tripadvisor.ca/Hotel_Review-g155019-d183091-Reviews-Hilton_Toronto-Toronto_Ontario.html,"145 Richmond Street West, Toronto, Ontario M5H 2L2 Canada",(416) 869-3456,C$164
Delta Hotels by Marriott Toronto East,https://www.tripadvisor.ca/Hotel_Review-g155019-d186896-Reviews-Delta_Hotels_by_Marriott_Toronto_East-Toronto_Ontario.html,"2035 Kennedy Rd, Toronto, Ontario M1T 3G2 Canada",1 (855) 821-4553,C$228
Holiday Inn Toronto Downtown Centre,https://www.tripadvisor.ca/Hotel_Review-g155019-d188212-Reviews-Holiday_Inn_Toronto_Downtown_Centre-Toronto_Ontario.html,,,C$195
Ramada Plaza by Wyndham Toronto Downtown,https://www.tripadvisor.ca/Hotel_Review-g155019-d188278-Reviews-Ramada_Plaza_by_Wyndham_Toronto_Downtown-Toronto_Ontario.html,"3 Park Home Ave, Toronto, Ontario M2N 6L3 Canada",,C$219
Novotel Toronto North York,https://www.tripadvisor.ca/Hotel_Review-g155019-d183103-Reviews-Novotel_Toronto_North_York-Toronto_Ontario.html,"92 Peter St, Toronto, Ontario M5V 2G5 Canada",(416) 593-9200,C$249
Canadas Best Value Inn Toronto,https://www.tripadvisor.ca/Hotel_Review-g155019-d647815-Reviews-Canadas_Best_Value_Inn_Toronto-Toronto_Ontario.html,"8 Colborne St, Toronto, Ontario M5E 1E1 Canada",(647) 496-1070,C$296
Hilton Garden Inn Toronto Downtown,https://www.tripadvisor.ca/Hotel_Review-g155019-d1176198-Reviews-Hilton_Garden_Inn_Toronto_Downtown-Toronto_Ontario.html,"30 Norfinch Dr, Toronto, Ontario M3N 1X1 Canada",1 (877) 859-5095,C$124
Holiday Inn Express Toronto - North York,https://www.tripadvisor.ca/Hotel_Review-g155019-d181966-Reviews-Holiday_Inn_Express_Toronto_North_York-Toronto_Ontario.html,"50 Estate Dr, Toronto, Ontario M1H 2Z1 Canada",1 (877) 859-5095,C$143
Holiday Inn Express Toronto East,https://www.tripadvisor.ca/Hotel_Review-g155019-d181956-Reviews-Holiday_Inn_Express_Toronto_East-Toronto_Ontario.html,,,C$269
"The Westin Prince, Toronto",https://www.tripadvisor.ca/Hotel_Review-g155019-d183098-Reviews-The_Westin_Prince_Toronto-Toronto_Ontario.html,"348 Adelaide Street West, Toronto, Ontario M5V 1R7 Canada",,C$189
Templar Hotel,https://www.tripadvisor.ca/Hotel_Review-g155019-d2553612-Reviews-Templar_Hotel-Toronto_Ontario.html,,,C$249
Toronto Airport Marriott Hotel,https://www.tripadvisor.ca/Hotel_Review-g155019-d183142-Reviews-Toronto_Airport_Marriott_Hotel-Toronto_Ontario.html,"7 Clarence Sq, Toronto, Ontario M5V 1H1 Canada",,C$110
Courtyard by Marriott Toronto Airport,https://www.tripadvisor.ca/Hotel_Review-g155019-d224671-Reviews-Courtyard_by_Marriott_Toronto_Airport-Toronto_Ontario.html,"231 Carlingview Dr, Toronto, Ontario M9W 5E8 Canada",1 (855) 821-4553,C$143
